date,BTCUSDT,ETHUSDT,USDCUSDT,FDUSDUSDT,SOLUSDT,wrapped-bitcoin,XRPUSDT,TUSDUSDT,MATICUSDT,DOGEUSDT,ORDIUSDT,LINKUSDT,ADAUSDT,BNBUSDT,ARBUSDT,AVAXUSDT,LTCUSDT,OPUSDT,DOTUSDT,MEMEUSDT,wrapped-beacon-eth,INJUSDT,FILUSDT,APTUSDT,SUIUSDT,1000SATSUSDT,TRBUSDT,LUNAUSDT,LUNCUSDT,TRXUSDT,ATOMUSDT,BCHUSDT,BAKEUSDT,ICPUSDT,MINAUSDT,FTMUSDT,AAVEUSDT,RNDRUSDT,NEARUSDT,UNIUSDT,USDPUSDT,JTOUSDT,DYDXUSDT,TIAUSDT,tether,EGLDUSDT,IMXUSDT,BLURUSDT,STXUSDT,CRVUSDT,SKLUSDT,GALAUSDT,FETUSDT,HOOKUSDT,SANDUSDT,ETCUSDT,CAKEUSDT,ARUSDT,CYBERUSDT,MANAUSDT,GMTUSDT,SNXUSDT,LDOUSDT,OSMOUSDT,ACEUSDT,BONKUSDT,STGUSDT,UNFIUSDT,COMPUSDT,GASUSDT,NTRNUSDT,CHZUSDT,STORJUSDT,AUCTIONUSDT,ROSEUSDT,SHIBUSDT,MAGICUSDT,LRCUSDT,WAVESUSDT,RAYUSDT,ARPAUSDT,IOTXUSDT,YGGUSDT,KSMUSDT,MASKUSDT,USTCUSDT,NFPUSDT,ARKUSDT,ALGOUSDT
2023-07-07,583429029204.2451,223411633998.65668,27577560159.376625,0.0,8013479115.45537,4722824889.174227,24328001206.918903,3009905244.0146327,6208407382.505242,9142434055.59911,129250119.2923337,3159636774.5440865,9826837407.86419,36245958961.433495,1376430513.5305176,4311633763.172724,7029669502.860462,769573552.0191181,6303470035.720804,0.0,132904738.62544295,631769644.9297137,1889758282.8888173,1497240657.543613,427262430.0721588,0,25591246.597404182,180169432.69616193,469123981.17763674,6951454623.613275,2704431764.459383,5452113597.206866,32797525.65431677,1783397566.842357,426659781.98824716,757090017.524388,1025605826.471085,710378671.4228033,1224685675.7680902,4005105590.80432,830812045.6056819,0,306851395.8812914,0.0,83485321161.53781,864043418.9277122,723855218.5169894,236982276.11911315,899755649.2080998,634383604.5737532,126700043.24970971,572983550.4277608,224116977.76120153,58880796.31243855,773336425.2622273,2676502065.912271,310056830.3563689,364158736.4807334,0.0,689015285.4544076,219504286.50686854,664342666.0516578,1699214200.771547,297918650.6015214,0,15067562.774419582,119364951.73836893,21946290.990568373,389877652.5040727,36131674.169328615,0.0,523617664.1167688,53214946.9714309,25218937.510844458,240766821.32796225,4241583392.659231,167962186.50153264,282186848.3331298,195939738.7738453,43399742.38663048,46950177.24355393,177846718.5912577,25864827.89922983,217006071.58195007,272007741.3625928,115719505.09385999,0,42847601.859214604,857586211.7313818
2023-07-08,588811434763.8912,224666147793.60873,27490882353.583122,0.0,8609626131.887451,4768963710.631465,24465410534.2725,2944042895.175152,6295315197.453822,9160695498.597551,155402207.8544697,3180429301.456522,9958793816.069336,36669054074.67473,1440081792.1432812,4402888148.881672,7187472863.235257,787385520.6886401,6391628950.862031,0.0,133880236.48254435,636162203.7368698,1912370227.1249304,1513384873.8644772,431880139.3739062,0,25761008.7951254,183728300.81217793,474570610.577267,7078149608.695917,2694053027.073587,5403124021.911934,32151046.590432562,1795076055.3026268,424700945.91907614,750130623.7034316,1078841835.0284731,718364698.2226783,1236168063.288072,4123937757.2371416,768593236.3840599,0,315818973.1269044,0.0,83361580540.12299,878791386.2424161,735175952.3021942,240312045.96125314,903985350.9593501,683778409.4110477,127774020.4587856,586822005.1700641,232675336.86651796,58292515.745592,782893199.3138514,2722252170.958576,313567647.4585879,374853470.1230117,0.0,701321974.9390049,220592746.9291569,672813515.4608151,1698320936.4487858,297782878.3458806,0,15033945.331219956,121908802.06736629,22255320.097220335,381879948.66276026,36036384.75984266,0.0,534464956.71795,51185622.67649652,25524135.798012666,240242958.0530674,4303813792.962931,175195146.52132195,285028546.39038116,195971232.2895423,45618786.81167695,47406710.62328531,181915952.1561117,25723436.679952525,218140149.37429875,275265474.39988405,115982813.00581194,0,44390556.48425955,849426317.4389164
2023-07-09,587678367157.9867,224139520023.71573,27520618446.83723,0.0,8804631486.280863,4773226743.176416,24583107111.164288,2947305556.652827,6335031673.981127,9210743830.725332,142513247.68656188,3204190808.3760614,10178691722.038004,36802926316.85087,1432851935.2830625,4713980708.6019,7176693372.889008,783426450.270367,6408167672.937634,0.0,132853805.90693115,646066785.0264612,1887141856.2278612,1482972771.99038,426665103.05986905,0,25935181.829432666,184590826.9876884,485208953.2282665,7190002659.05914,2693383801.508523,5239780850.786324,31271388.196099214,1771588730.2930613,416549535.51267856,771423134.0628775,1064036045.765873,716247020.7531903,1286172338.7240088,3948151495.2628,768563904.5986495,0,311887936.2770071,0.0,83400094970.38133,877049248.3760436,731451726.9448422,243026513.99982402,893509235.1247011,674338375.9522622,129049750.13827911,585766673.6698534,228634499.06754878,58356999.86755325,776285281.7792716,2689493259.9432034,312420569.2562,379954151.12004226,0.0,711064945.4105816,218778157.18378693,667541191.7096488,1718812576.873803,296402201.03766763,0,15164638.90417713,121894368.99485172,22458221.70470435,367903782.1410232,35580526.38650321,0.0,533136774.943823,49636930.334676065,26130692.807173442,239533907.04190686,4508210795.601048,174525188.58905342,283732258.69431263,213032590.8123412,45227154.87376497,48563497.12992105,182736529.39008608,25911867.79166784,216559911.1564491,286994757.8202317,117810216.10068883,0,43672316.41122039,847431465.8774728
2023-07-10,585883986681.1711,224416034755.06198,27497914255.73119,0.0,8595004420.8743,4744812484.746826,24462004905.83065,2945518680.870747,6405797170.4526,9156411112.795094,144745636.21293518,3176945054.4495664,9966151770.116873,36475495886.20578,1432212750.4270883,4699662575.833299,6984299389.777212,781365559.175179,6351190038.393827,0.0,133024861.3353157,654749355.1991079,1881514422.398624,1487538351.4773407,430796022.1161703,0,25103330.239846576,182426843.33152407,476717153.7814432,6957983270.102866,2762502929.090974,5148486742.543443,30562931.899304453,1764004036.3324964,407212906.61743194,748970987.3069208,1037952513.3871577,707840133.5666023,1231393811.1582184,3930974718.154736,767936497.0130996,0,308253444.70149887,0.0,83401941911.69394,886511194.5375085,723029233.5612975,242160426.16572556,886564574.6526953,689429539.8914952,126291855.2405787,585417345.004566,226276905.72048146,56729326.132823,769724405.9873141,2639150664.4512887,310514235.64612067,382913707.9244837,0.0,698056547.4550809,233651854.74711356,663074707.2704936,1691433821.3971958,300880630.1616962,0,14706188.27281594,121978358.80421585,22376213.36050887,413231070.3618343,35883760.88465935,0.0,528187168.21723306,48628462.42200134,27721893.200593792,235487525.76727057,4549446191.916238,175413944.4612754,277942116.1375671,202617196.5909774,44267922.99184279,48200264.54283294,181171247.5054676,25568553.454979166,213019799.26566505,278058617.6746899,115651865.39699331,0,44851773.651701756,835447628.3729441
2023-07-11,590311894648.7518,225295266243.27637,27383207895.857414,0.0,8559664093.103448,4778873480.793751,24922515787.509663,2944618778.319343,6843381556.842888,9130930488.9728,145747600.63783672,3187749188.971608,10076045454.92794,38198672256.78109,1429994082.4320314,4624874661.049588,7083219740.8551855,772512608.5142804,6414553200.2227545,0.0,134640837.27822214,646721487.332193,1873278440.2093945,1489214653.7577171,428236356.2617998,0,25588686.847726237,187099994.12293553,483842273.52707636,6969916529.517118,2708367750.166566,5329045091.061327,29486965.148239776,1782136977.8777237,433637948.5122686,760303638.1510123,1001280625.7304893,702798590.0424936,1236038991.2929296,3942618699.605214,718170273.0786262,0,311692916.6248254,0.0,83357075149.29001,902023608.9740733,723324478.4561944,242374117.99726278,885703327.0819293,699972222.639767,128370361.63537875,591863256.9391106,223931318.09943917,55146886.25448715,777538991.5203753,2682175488.748629,314784030.1506521,389464909.26520026,0.0,704508532.2222916,234959465.3655989,652406087.3612835,1722786394.3779569,298606364.667392,0,14503728.631039226,131421119.43461809,22358891.87415754,405626457.96694916,36286618.72437391,0.0,529384739.8584658,49078792.48072237,28825550.58505579,241352350.4820492,4444756167.281179,174593979.4206659,282120121.43387735,218957207.5345749,42653052.02694126,48489325.853842124,183400766.3852485,25429619.2971324,213126578.9689198,276763610.7722031,122857888.55145115,0,44250647.51176746,832534138.1397405
2023-07-12,594749192359.1351,225467256388.71954,27372801556.991467,0.0,8875741131.46763,4816000182.92514,25025475416.402214,2893691237.724272,6909495755.8165045,9153827828.517197,166025633.97580203,3210441112.0097446,10258583229.902822,38718584412.54342,1436354921.7762196,4585305841.354374,7100667449.486484,787442229.4811325,6528711738.080088,0.0,134316077.22268772,640690209.6031185,1865818495.6587403,1481135697.442997,428917292.1897769,0,25586507.119201988,188232814.70654213,483329379.58479404,6945463954.068619,2693151908.941697,5328967619.757821,29168135.3242648,1803529858.738412,423001981.25647974,761833991.908729,1062195962.9960003,735556056.1348414,1237598875.5774636,3962690181.241324,661794101.5524621,0,315387465.4313321,0.0,83401280506.39957,911574607.159867,724135496.3981805,244777593.34774,913306242.8655285,690299440.0441725,128578630.6917494,602901565.9624033,222951489.52038902,54318368.9530906,793619311.7788578,2679946279.649423,313618881.1610342,383913984.2719953,0.0,720281116.621118,239654096.4333101,650456778.6992545,1685880437.3002174,296570068.6879134,0,14918827.420746095,133268191.73666115,22507426.919340353,452324790.6778275,38109220.260753065,0.0,537364306.893645,47098141.23356611,30049391.48131948,241786255.67871717,4439321753.164246,176631073.02138728,283020771.9984602,209301218.7172319,43554505.93199383,48117895.76666844,179885198.36294058,26338428.352650933,213561737.22786364,278489211.67145437,118429102.56506273,0,48010758.71256277,826435314.2959865
2023-07-13,590629381260.7114,225081147081.1057,27274501888.459175,0.0,8862665910.429438,4801909515.668088,24756292150.832104,2842220185.4965277,6759951342.8613405,9108608166.081766,154502838.19516435,3232407286.903975,10116899370.893543,38043237563.26991,1432014242.592125,4511378569.151524,7070170253.25194,785962452.5482002,6454368180.046069,0.0,133778448.66312937,639729980.0011799,1845480336.0476766,1471857983.5580719,429791947.43655026,0,25850087.62998931,187239589.808946,487357773.9869036,6994278003.35141,2655001508.1111174,5502748536.156492,28671814.615183003,1808960438.7102056,416317597.32576305,764144723.1181157,1105915933.389493,715118335.2487833,1243370399.3107796,3980439452.5544906,617008374.2949438,0,314148857.5414857,0.0,83403277912.52115,908074291.7566669,721194666.4301591,245094518.24424458,933075918.8988191,681744717.1793222,127646003.79622497,590649761.748323,230059125.82507497,53865139.2308352,792972831.3062315,2670174709.523,310046504.32189345,374983060.83381444,0.0,724554165.6884208,256929848.3456612,656540838.210752,1658576053.8992238,294642382.09582156,0,14637476.824778806,130066146.86231335,22472988.38869421,486608302.5243286,37600548.10638298,0.0,534107511.818914,45678320.443026885,28867817.21279733,246085975.72432196,4438583654.646981,173779605.38444647,284131802.25733435,203810588.6910685,42642637.154914476,48017340.14513041,176838265.41477707,25857943.794911787,215898458.39787596,280291717.5474028,119502696.21078883,0,47763050.67034457,811202430.1046361
2023-07-14,610725509598.8464,240656450975.35602,27379899146.055225,0.0,10410892785.973965,4962504208.92894,42784396920.87513,2848944549.4296994,7883766311.973227,9857787759.70849,158465446.96173096,3634506572.7138987,12496903000.204168,39815488719.20244,1556962866.7952316,4859088015.830401,7452474406.529495,879449966.1502537,6943185837.551099,0.0,142971349.56663617,699331033.5176458,2012480780.0652606,1626708432.182907,456311828.1423075,0,27367898.53339517,198192351.7317551,503722138.64368,7322815186.142372,2891773256.039922,5317965420.796866,31894092.101892125,1916194604.3145752,462488194.3739515,858984419.1946026,1142087334.3421834,787394774.9860379,1362136766.4022834,4401811235.794664,567855976.2170336,0,344307216.86243063,0.0,83325381227.48358,950933946.1976435,823938247.4104285,261449942.2132664,951338063.2659742,733636160.36975,137775912.68777767,636299632.2502718,242275916.09353697,59121710.6646429,925938036.949807,2862390479.732549,328668082.07748884,397510746.00513566,0.0,811228217.4382049,267204050.30388397,697270398.9174175,1997612578.811239,314139554.02647,0,16006467.27315929,140906353.2614082,24368410.7635984,473792048.36909324,37688456.041365035,0.0,586830948.1650525,45959885.47066765,29877845.22230698,264117241.76907614,4700030973.431895,185841175.85705164,302282248.9725614,207731358.5370061,44365508.43402919,52166416.44605672,198975126.96824124,27536548.27952386,229848408.41525453,309750027.7889524,123440959.95846617,0,48686369.95382398,929806017.9129974
2023-07-15,588107447250.1327,232297518076.90158,27253533176.869637,0.0,10743046575.077665,4781056522.049458,37918177999.134254,2841410560.853797,7536468628.735201,9581089176.657316,150087710.54921082,3582643150.792101,11514588242.70672,38561494027.78192,1544068674.298365,5046915685.957171,6947916221.971359,926137008.161523,6819391767.531546,0.0,138228339.31118032,745555893.3102139,1930156040.6005547,1583545642.6051598,445149641.75175744,0,26781206.2363784,194090630.06312382,497599929.77636844,7157780799.099686,2852356603.999733,5118116715.623604,30536445.967770793,1857036071.7773583,454098662.070465,789230684.2549704,1179478004.0323029,745786840.3923501,1399048782.4412599,4405082707.093525,562309083.996221,0,357734421.8576076,0.0,83642019367.73041,934055266.4078397,807474733.1102552,262048799.74272767,903913048.3857881,713500589.282452,132888471.71017708,617280753.1260314,247059454.65476954,55852365.0124863,869634839.0958128,2704490194.520457,323274726.60618526,381378060.43626666,0.0,759539125.0753139,251465099.4094225,877709107.8469423,2057404009.395871,333846648.473566,0,17042110.72926156,136571765.8803316,23605730.55585229,456959109.0081038,37912768.735372014,0.0,558533989.6655589,43988242.46100428,29478526.879107494,258473983.8876941,4692676614.728667,178235696.85565877,293926294.1546645,197018272.8347598,44414577.81790575,50428214.96248096,193724672.7218485,26427000.740288913,222100350.4497104,295630039.7457039,127664679.6584904,0,55375087.67637488,872092517.1638373
2023-07-16,588642134563.5204,232081207333.19733,27284376844.53866,0.0,11015911503.065817,4791678678.105567,37484963831.147064,2844528614.91491,7443608463.232498,10098198790.971888,155274894.05732208,3576707771.523656,11426902883.374521,39137854035.67657,1613874133.9244359,5127762032.8918085,6947465306.063333,936602460.9213493,6808585227.279845,0.0,137859206.93433043,743094315.3721287,1934474399.1504853,1605365030.3776352,446687733.2285746,0,26946384.435111005,206133489.1419023,540871772.8794285,7260896511.78294,2839784318.3538423,4919107178.650801,30582981.06456,1845520467.9780803,448980326.54104364,771623294.7772098,1144077944.8974466,747004885.9109806,1395331685.9254324,4370988463.935703,562241906.6845584,0,353374319.5776476,0.0,83663934660.37202,943178554.279576,808611242.6146716,267654463.41704524,898830856.5710053,714108364.5795412,136471990.35832918,629753704.4937419,251824297.82476437,55399370.11454725,876117177.9474254,2733252791.213338,321753211.85522676,390742172.0813604,0.0,769001123.6280913,262984000.94411367,897264764.5183669,2033632833.556933,325551148.4380245,0,16144302.993080137,136431058.19476026,23692274.924859416,521965365.694235,38687587.37249043,0.0,570122605.7276579,44554137.03697193,32797810.389455333,258872430.1716534,4774297371.739195,178844472.78418314,296955131.40362376,198372332.7630088,45564654.546825446,50385768.37150478,192555318.12629837,26859972.321644742,221349918.95131397,299429535.6076863,155190424.25332627,0,60927607.18644822,875590381.9577072
